SMILES,Reward,Rank
CCC1CC(O)CN1C(=O)c1csnc1-c1ccccc1,0.9482817649841309,1
CNc1cnccc1C(=O)N1CC2C(C1)C2c1ccccc1C,0.9480893611907959,2
CNc1cnccc1C(=O)N1CC2C(C1)C2c1ccccc1C,0.9480893611907959,3
CNc1cnccc1C(=O)N1CC2C(C1)C2c1ccccc1C,0.9480893611907959,4
CC1CC(CO)N1C(=O)c1ccc(-c2cccc(C#N)c2)cc1,0.9480547904968262,5
CC1CC(CO)N1C(=O)c1ccc(-c2cccc(C#N)c2)cc1,0.9480547904968262,6
N#Cc1cccc(CCC(=O)N2CCc3ccc(O)cc3C2)c1,0.9480471014976501,7
N#Cc1cccc(CCC(=O)N2CCc3c(O)cccc3C2)c1,0.9480471014976501,8
Cc1ncc(N)cc1C(=O)N(C)Cc1c(F)cc(F)cc1F,0.9480172395706177,9
CN(Cc1ccc2cnccc2c1)C(=O)C1CC2CCCC2N1,0.9479978084564209,10
Cc1cnccc1C(=O)N1CCC(c2ccccc2)C(CO)C1,0.947952926158905,11
CCN(C(=O)C1CC2CC2N1)c1nc2c(C)cccc2s1,0.9478474259376526,12
CCN(C(=O)C1CC2CC2N1)c1nc2c(C)cccc2s1,0.9478474259376526,13
CC1(C)CCN(C(=O)Cc2ccc3cccnc3c2)CC1CO,0.947733461856842,14
CNc1cnccc1C(=O)N1CCCCC1c1cccn1C,0.9476903676986694,15
CN(Cc1ccc2cnccc2c1)C(=O)C1CCCCC1O,0.947685182094574,16
CCC1CC(O)CN1C(=O)c1ccc(-c2ccncc2)c(F)c1,0.9475791454315186,17
CC(C)(C(=O)NC1CCc2ccncc21)c1cccc(C#N)c1,0.9475458860397339,18
Cc1occ(-c2ccccc2)c1C(=O)N1CCC2CC21CO,0.9475005865097046,19
Cc1occ(-c2ccccc2)c1C(=O)N1CCC2CC21CO,0.9475005865097046,20
CCn1ncc2c1CC(C(=O)Nc1cc(C#N)ccc1C)CC2,0.9474790096282959,21
O=C(c1csnc1-c1ccccc1)N1CC(CO)C2(CC2)C1,0.9474025964736938,22
O=C(c1csnc1-c1ccccc1)N1CC(CO)C2(CC2)C1,0.9474025964736938,23
O=C(c1csnc1-c1ccccc1)N1CC(CO)C2(CC2)C1,0.9474025964736938,24
Cc1c(F)ccc(C(=O)NCC2Cc3ccncc3C2)c1C#N,0.9472757577896118,25
O=C(c1ccc(-c2ccncc2)c(F)c1)N1CCC2CC21CO,0.9471426606178284,26
O=C(c1ccc(-c2ccncc2)c(F)c1)N1CCC2CC21CO,0.9471426606178284,27
Cc1cc(C)cc(C(N)C(=O)N(C)c2ccc(F)c(C#N)c2)c1,0.9470386505126953,28
Cc1cnccc1C(=O)N1CCCC(Cc2ccc(O)cc2)C1,0.946990966796875,29
CC(c1noc(C2CNC3CC2C3)n1)c1ccc(F)cc1F,0.9469677209854126,30
